g1	
g10	GO:0016021,GO:0016020,GO:0022857,GO:0005215,GO:0022891,GO:0055085
g100	GO:0016020,GO:0004888,GO:0005515,GO:0007166
g1000	
g10000	GO:0016021,GO:0004930,GO:0007186
g10001	GO:0016746,GO:0008152
g10002	GO:0005515,GO:0007165
g10003	
g10004	GO:0003676,GO:0046872
g10005	GO:0008408,GO:0003676,GO:0006139
g10006	
g10006	
g10007	
g10008	GO:0004222,GO:0006508
g10009	GO:0004842,GO:0008270,GO:0005515,GO:0016567,GO:0007165,GO:0042981
g1001	
g10010	
g10011	
g10012	GO:0004672,GO:0005524,GO:0006468
g10013	GO:0004252,GO:0006508
g10014	
g10015	GO:0005515,GO:0007165
g10016	GO:0005856
g10017	
g10018	
g10019	GO:0004725,GO:0016791,GO:0006470,GO:0016311
g1002	
g10020	GO:0003824,GO:0050662,GO:0004518,GO:0003677,GO:0016491,GO:0000166,GO:0006259,GO:0009226
g10021	GO:0005515
g10022	GO:0004672,GO:0005524,GO:0005488,GO:0006468
g10023	GO:0030014,GO:0005488,GO:0006402
g10024	GO:0005515,GO:0035091
g10025	GO:0008270,GO:0005515,GO:0006464,GO:0015031
g10025	GO:0008270,GO:0005515,GO:0006464,GO:0015031
g10026	
g10027	GO:0008270,GO:0005515
g10028	GO:0046854
g10029	GO:0003824,GO:0005975
g1003	GO:0000813
g10030	
g10031	
g10032	GO:0046872
g10033	GO:0003824,GO:0009116
g10034	GO:0005737,GO:0006914
g10035	
g10036	
g10037	
g10038	
g10039	GO:0016021,GO:0004930,GO:0007186
g1004	
g10040	
g10040	
g10041	GO:0003676
g10042	
g10043	GO:0005515
g10044	GO:0016021
g10045	GO:0003899,GO:0000166,GO:0003824,GO:0006351,GO:0044237
g10046	GO:0004222,GO:0008237,GO:0006508,GO:0007219,GO:0006509
g10046	GO:0004222,GO:0008237,GO:0006508,GO:0007219,GO:0006509
g10047	
g10048	GO:0005634,GO:0006355
g10049	GO:0005737,GO:0005634,GO:0046983,GO:0045892
g1005	
g10050	
g10051	GO:0016020,GO:0005234,GO:0004970
g10052	GO:0016020,GO:0005234,GO:0004970,GO:0005216,GO:0004872,GO:0006811
g10052	GO:0016020,GO:0005234,GO:0004970,GO:0005216,GO:0004872,GO:0006811
g10053	GO:0005952,GO:0008603,GO:0001932
g10054	
g10055	GO:0016020,GO:0005215,GO:0006810
g10056	GO:0016020,GO:0005215,GO:0006810
g10057	GO:0016020,GO:0005215,GO:0006810
g10057	GO:0016020,GO:0005215,GO:0006810
g10058	
g10059	GO:0071203
g10059	GO:0071203
g1006	GO:0005525,GO:0003924,GO:0072583
g1006	GO:0005525,GO:0003924,GO:0072583
g10060	
g10061	
g10062	GO:0004643,GO:0003824,GO:0003937,GO:0006164
g10062	GO:0004643,GO:0003824,GO:0003937,GO:0006164
g10063	GO:0005488
g10064	
g10065	GO:0005515
g10066	
g10066	
g10067	
g10068	GO:0016787,GO:0003676,GO:0046872
g10069	
g1007	
g10070	GO:0005515,GO:0007165
g10070	GO:0005515,GO:0007165
g10071	
g10072	
g10073	
g10074	
g10075	
g10076	GO:0016021,GO:0004930,GO:0007186
g10077	
g10077	
g10077	
g10078	
g10079	
g1008	GO:0005576,GO:0004252,GO:0005515,GO:0006508,GO:0006956
g10080	
g10081	GO:0003980,GO:0006486
g10082	GO:0005509,GO:0005515
g10083	GO:0016021,GO:0016020,GO:0005230,GO:0006811,GO:0006810
g10084	GO:0016021,GO:0016020,GO:0045211,GO:0005230,GO:0022848,GO:0005216,GO:0006811,GO:0006810
g10084	GO:0016021,GO:0016020,GO:0045211,GO:0005230,GO:0022848,GO:0005216,GO:0006811,GO:0006810
g10085	GO:0005515
g10086	
g10086	
g10087	
g10088	GO:0005515
g10088	GO:0005515
g10089	
g1009	
g1009	
g10090	
g10091	GO:0005515
g10092	GO:0005515,GO:0006887
g10093	GO:0005634,GO:0003707,GO:0004879,GO:0003677,GO:0043401,GO:0006355
g10094	GO:0005856
g10094	GO:0005856
g10095	GO:0016021,GO:0016020
g10096	GO:0016021,GO:0004930,GO:0007186
g10097	GO:0005201
g10097	GO:0005201
g10098	
g10099	
g101	
g101	
g1010	
g10100	
g10101	
g10102	
g10103	GO:0004563,GO:0004553,GO:0005975
g10104	
g10105	GO:0005515
g10106	GO:0005515
g10107	
g10108	GO:0005515
g10109	GO:0016868,GO:0000287,GO:0005975
g1011	
g10110	GO:0016020,GO:0005515,GO:0016192,GO:0048193
g10111	GO:0005515
g10112	
g10113	GO:0004842
g10114	GO:0003676,GO:0005524
g10115	GO:0004672,GO:0005524,GO:0006468
g10116	GO:0043565,GO:0003677,GO:0006355
g10117	GO:0016491,GO:0008152,GO:0055114
g10118	GO:0016491,GO:0008152,GO:0055114
g10119	
g1012	
g10120	
g10121	
g10122	
g10123	GO:0050661,GO:0004345,GO:0055114,GO:0006006
g10124	
g10124	
g10125	GO:0005515
g10125	GO:0005515
g10126	GO:0005515
g10126	GO:0005515
g10127	
g10128	
g10129	GO:0003824,GO:0004222,GO:0046872,GO:0006508
g1013	GO:0005515
g10130	GO:0003840,GO:0006749
g10131	GO:0004672,GO:0005524,GO:0006468
g10132	GO:0005509
